Class,CBO,LOC,OCavg,RFC,WMC
2.0.27-org.apache.pdfbox.pdmodel.PDPageContentStream.AppendMode,22,26,1,4,2
2.0.27-org.apache.pdfbox.pdmodel.PDPageTree,26,426,2.76,58,58
2.0.27-org.apache.pdfbox.pdmodel.PDPageTree.PageIterator,6,68,2.4,23,12
2.0.27-org.apache.pdfbox.pdmodel.PDPageTree.SearchContext,3,15,1,3,2
2.0.27-org.apache.pdfbox.pdmodel.PDPatternContentStream,4,18,1,5,1
2.0.27-org.apache.pdfbox.pdmodel.PDResources,106,748,2.24,93,101
2.0.27-org.apache.pdfbox.pdmodel.PDStructureElementNameTreeNode,6,34,1,6,4
2.0.27-org.apache.pdfbox.pdmodel.PageLayout,2,50,1.67,7,5
2.0.27-org.apache.pdfbox.pdmodel.PageMode,7,45,1.67,7,5
2.0.27-org.apache.pdfbox.pdmodel.ResourceCache,0,0,0,14,0
2.0.27-org.apache.pdfbox.pdmodel.common.COSArrayList,42,663,2.17,100,87
2.0.27-org.apache.pdfbox.pdmodel.common.COSDictionaryMap,12,218,1.56,50,28
2.0.27-org.apache.pdfbox.pdmodel.common.COSObjectable,0,0,0,1,0
2.0.27-org.apache.pdfbox.pdmodel.common.PDDestinationOrAction,0,0,0,0,0
2.0.27-org.apache.pdfbox.pdmodel.common.PDDictionaryWrapper,18,52,1.4,8,7
2.0.27-org.apache.pdfbox.pdmodel.common.PDMetadata,17,68,1,14,5
2.0.27-org.apache.pdfbox.pdmodel.common.PDNameTreeNode,25,345,2.38,53,38
2.0.27-org.apache.pdfbox.pdmodel.common.PDNumberTreeNode,13,306,2.64,52,37
2.0.27-org.apache.pdfbox.pdmodel.common.PDObjectStream,6,102,1.11,19,10
2.0.27-org.apache.pdfbox.pdmodel.common.PDPageLabelRange,6,147,1.33,18,12
2.0.27-org.apache.pdfbox.pdmodel.common.PDPageLabels,15,239,2,41,26
2.0.27-org.apache.pdfbox.pdmodel.common.PDPageLabels.LabelGenerator,2,131,2.71,24,19
2.0.27-org.apache.pdfbox.pdmodel.common.PDPageLabels.LabelHandler,0,0,0,1,0
2.0.27-org.apache.pdfbox.pdmodel.common.PDRange,17,108,1,16,10
2.0.27-org.apache.pdfbox.pdmodel.common.PDRectangle,109,295,1,45,22
